ETossed,Hungrybox,Leffen,Mang0,Axe,Wizzrobe,Zain,aMSa,Plup,iBDW,Mew2King,S2J,Fiction,SFAT,moky,n0ne/ Bond / wizzyfan109,Trif,Faceroll,Hax$,Swedish Delight,Lucky,Ginger,Spark,Chudat,lloD,ARMY,KJH,Shroomed,Westballz,Medz,Professor Pro,2saint,Gahtzu,Albert,FatGoku,Rishi,Magi,Morsecode762,Zamu,Drephen,Michael,Ice,billybopeep,Colbol,Kalamazhu,Aura,nut,Kalvar,Polish,Tai,Squid,Forrest,KoDoRiN,Free Palestine,Ryobeat,Luigi Ka-Master,KÃƒÂ¼rv,Frenzy,bobby big ballz,Franz,Nicki,TheRealThing,Umarth,Rocky,htwa,Panda,TheSWOOPER,Azel,Fizzwiggle,Krudo,Kuyashi,Leighton,null,Smashdaddy,Sora/Joshman,Wevans,Akir,Aklo,Android 0,Bbatts,Ben,Blues Clues,Bones,Captain Smuckers,Casper,Chape,Chem,Dacky,Dawson,DontTestMe,Eddy Mexico,Eggy,Fank,Far!,Fizz,Flash,Freezus,Grab,Jah Ridin',Jflex,Jmook,Jojo,JSalt,Juicebox,Just Jason,Justus,K8A,Kata,Komodo,Koobie,Khryke,Kins0,Logan,Lotfy,Mekk,MINT,Mot$,Neologism,NoFluxes,NOOT,Ober,OkayP.,orly,Palpa,Pappi,Pipsqueak,Quaff,Rei,Ringler,Salt,Secrets,SDJ,SFOP,Skerzo,Slowking,SluG,Sock,Solobattle,Soonsay,Suezo,Swift,The Leaf,Trail,Travioli,Typhoon,Unsure,Wally,Warmmer,Whiskers,Zealot,Zeeker,Zuppy,Other losses
Just Jason,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-2,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-1,0-4,0-0,0-0,1-0,1-0,0-0,3-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-6,0-0,2-2,0-0,0-0,N/A,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-2,2-0,0-0,0-0,"Younger, Peachy Keen, Goosekhan, HOBORG",
Justus,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,1-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-5,0-0,0-0,0-1,0-2,0-1,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-1,0-0,0-0,0-0,0-3,2-3,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-3,0-0,0-0,0-3,0-0,0-1,N/A,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-4,0-0,0-0,0-0,1-1,1-0,0-0,0-2,1-0,1-1,0-1,0-0,1-1,0-3,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,1-0,0-3,1-0,0-0,0-0,0-0,0-0,1-1,0-0,"Gooms, GGS, Jochi, DannyPhantom, Fro116, cool bruh, YungWaff, Firebolt, Alan, SooYoung, DarkHero, Logos, Wassabi, ycz6, LAG, Conman, FMB5k, Sicca, Shmeeli, Logos, Logos, ycz6, Kürv, ycz6, Captain G, Shmeeli, Dream, Steech, LuigigoShard, Zion, Fury",
K8A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-2,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,0-2,0-0,0-0,0-0,0-0,0-0,0-4,0-0,0-0,1-0,0-0,0-0,0-2,0-1,0-2,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-1,1-1,0-3,0-0,0-5,1-2,3-2,0-0,1-6,0-0,0-0,0-1,0-1,2-1,0-0,0-1,1-2,1-2,1-0,1-0,0-0,1-1,0-0,0-0,2-4,0-0,0-4,0-3,0-0,0-1,0-0,N/A,0-1,0-0,2-7,0-6,0-0,0-4,5-1,0-1,0-0,1-3,0-2,1-2,0-0,0-2,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-0,1-5,0-2,0-0,0-0,0-0,2-2,0-1,1-0,1-2,2-0,0-0,0-0,0-1,0-1,0-3,0-2,0-5,0-2,"Jimmy Jockstrap, Zuraco, Json, Balloon Day, Faust, Yu, LAG, I'm Michael BTW, Younger, Younger, Noire, g-regulate, Majersk, Bimbo, Younger, LXIX, Bobby Frizz, Matteo, JKJ, Zook, Bladeefan829, Ahmad, Younger, Joe(y) Bats, cockbread, Bladeefan829, Reesch, Ahmad, Egg$, NSFrog, Kürv, Sicca, Zab, KELLZ, Tommy, Nard Dawg, KELLZ, Panos, Erik, Joey Donuts, Young, Erik, Chummi, Peachkid, Equal, Crow, Ghost Rider, Panos, Panos, Majersk, Younger, Sicca, dreg, Guava, Babich, Sicca, Reesch, rom, allie, Inky, I'm Michael BTW, prof, Younger, I'm Michael BTW, prof, JJM, SloX, Dope, MOF, Peachy Keen, SnooSnoo, Nick, Willy P, Siddward, Epoodle, Epoodle, Duo, FLiiNcHy, Luu, Duo, Jib, Heartstrings, Heartstrings, Jah, SloX, Gambit, AGeese'sniecenamedDenise, ALP, Golden, LuigigoShard, Chi, Sneakywill, Kezzup, Electrician, Cannagar, MOM!, Heartstrings, SloX, Jib, Nyte, oquinn, Error, I'm Michael BTW, DrLobster, SnooSnoo",
Kata,0-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-1,0-0,0-0,0-0,0-0,0-0,2-5,0-0,0-0,0-0,0-0,0-0,7-0,4-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-2,1-1,1-0,0-0,0-0,0-0,0-0,2-0,0-0,1-0,1-1,0-0,3-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-1,0-0,0-0,0-0,1-0,N/A,0-0,0-0,1-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,"Captain G, Excel Zero, Pi#374, prof, DontRestMe, Fro116, Stiffff, JCAM, Dream, Bimbo, Excel Zero, Excel Zero, Excel Zero, Ishigami, JCAM, Zion, Excel Zero, Px-Hylian, Excel Zero, Siddward, Leof, Ishigami, JCAM, JCAM, Excel Zero, Excel Zero, Duff, Ishigami, Lengüitas, Fable, JCAM, JCAM, JCAM, JCAM, Excel Zero, Prometheus, JCAM, Stiffff, Excel Zero, Prometheus",
Komodo,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-5,0-1,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,1-2,0-0,1-0,0-1,0-1,0-0,0-0,0-0,4-1,0-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-0,0-0,0-0,0-0,4-0,7-15,0-0,0-0,0-0,2-3,0-0,0-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,1-0,1-4,0-0,1-0,0-0,0-0,1-0,0-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,1-3,0-0,0-3,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,1-0,1-1,0-0,0-1,0-0,1-0,0-0,0-1,0-0,2-1,0-0,0-0,0-0,0-0,0-1,3-1,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,1-0,0-0,1-0,0-0,0-1,1-0,2-1,0-0,0-1,"Excel Zero, Younger, TPN, BZimm, BZimm, Keenan, Oaty, Captain G, Sp1nda, E-tie, DD, Excel Zero, Excel Zero, Excel Zero, Lad, Captain G, Captain G, Captain G, Ears",
Koobie,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-3,0-0,0-0,0-0,0-0,0-1,0-2,0-1,0-1,0-0,0-0,0-0,0-0,2-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-1,0-0,0-0,0-0,1-4,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,1-1,0-0,0-0,1-0,0-0,0-0,2-1,0-1,1-0,0-6,0-0,0-0,0-0,0-2,0-0,0-2,1-0,0-0,1-0,3-1,0-0,0-0,0-0,3-2,0-1,0-0,1-4,0-0,0-0,0-12,0-0,0-0,1-0,7-2,0-0,0-1,N/A,1-3,0-0,0-1,3-1,3-0,0-0,0-0,2-1,13-1,0-0,0-0,0-0,0-0,0-0,2-2,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-1,0-1,0-3,0-0,0-0,0-0,0-0,3-1,0-0,0-0,1-1,2-1,0-0,1-1,0-0,0-1,0-0,0-2,6-0,1-1,"Starlord, Starlord, Busy Boi, Busy Boi, KoopaTroopa895, Russell, Maher, Husband, lexor, DD, Tanooki, Foxy Grandpa, Younger, Younger, Professor Pizza, lexor, Pi#374, Wicked_, Crow, Crow, TPN, KoopaKev, rabit!, rabit!, Younger, Peachy Keen, Jamrun, Epoodle, Cob, BZimm, Paladin, Paladin, Faust, Killablue, Faust, Pi#374, Franco, Ben Snape, Omar, snake, snake, tiebex, PeachKid1010, Frunko, Frunko, Erik, Erik, Nix, Nix, Paladin",
Khryke,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-1,0-1,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,2-2,0-5,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,2-0,0-0,0-0,5-3,0-2,0-1,3-7,0-0,0-1,0-0,2-1,0-0,4-3,1-1,1-0,0-2,0-1,0-1,1-0,0-0,1-0,0-0,0-0,0-4,0-0,0-0,0-0,0-2,0-0,1-0,6-0,0-1,1-1,3-1,N/A,0-0,1-0,1-7,0-0,0-0,0-2,1-2,2-2,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-1,0-0,0-0,0-2,0-0,0-0,0-0,1-1,1-2,0-1,0-0,0-0,0-0,1-1,0-2,0-0,2-0,1-1,0-1,0-0,2-1,0-4,0-1,0-0,2-0,0-0,"bonfire10, Sneakywill, Jank, SubTails, Siddward, Hulka, g-regulate, Googlyeyed, I'm Michael BTW, Younger, Siddward, Evan, Googlyeyed, Fro116, E-tie, Neenor, William, Marrgasm, prof, Inky, Younger, Jeffthecheff, BZimm, Seven, Googlyeyed, SmashBob SquarePants, Joey Donuts, CmG, Goobz, Vianny, JCAM, Stiffff, Fro116, C-bass, Younger, rabit!, Lukademus, Lukademus, Douglas.J.Gov, Prometheus, PROMETHEUS, Prometheus, Prometheus, Lukademus, Lukademus, eve, Toast, Dao, BRYN, WAMatt, spaceman, Sp1nda",
Kins0,0-0,0-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-3,0-0,0-0,1-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,N/A,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Rikzz, raoul, Laurster, Sharp, Kadano, hot atze sommer, hot atze sommer",
Logan,0-1,0-0,0-0,0-2,0-1,0-0,0-0,0-1,0-2,0-0,0-2,0-0,0-2,1-0,0-1,0-0,0-0,1-3,0-0,0-0,2-2,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,2-2,1-2,1-0,2-1,0-0,1-0,0-0,2-1,1-0,0-0,0-0,0-0,3-1,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-1,1-1,0-0,2-0,0-0,0-0,0-0,4-0,0-0,0-0,1-0,0-0,1-1,2-0,1-0,2-0,1-0,0-0,0-0,1-0,0-0,0-1,0-0,0-0,0-0,1-0,4-3,0-0,5-0,7-4,0-0,1-1,0-0,0-0,0-0,1-0,0-0,9-1,0-2,0-0,3-1,0-0,0-1,0-0,0-0,0-0,1-0,0-0,3-2,0-0,0-0,0-1,0-0,0-0,0-0,4-0,0-2,1-0,1-0,0-1,0-0,N/A,1-0,0-0,0-0,1-0,1-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,4-1,0-0,0-0,0-0,1-0,2-2,0-2,0-0,0-0,1-0,0-0,1-1,0-0,0-0,1-0,0-0,4-1,0-0,3-0,0-0,0-0,1-0,5-1,"Equal, MOF, SmashBob SquarePants, Supersponge",
Lotfy,0-4,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-4,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,1-1,0-3,0-0,0-0,0-0,0-0,0-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,2-0,0-0,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-8,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-3,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,2-1,0-1,0-0,5-9,0-0,1-1,0-3,0-0,0-0,0-0,0-0,0-0,1-3,1-1,0-0,2-1,0-4,0-0,1-0,0-0,6-1,0-4,0-0,1-2,0-0,1-0,0-4,0-1,0-0,1-0,1-5,0-0,0-0,1-3,7-1,0-0,0-1,N/A,1-2,0-0,0-0,1-1,6-2,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,4-1,0-0,0-1,0-0,1-0,3-0,0-0,0-0,0-0,0-1,2-4,0-0,0-1,2-0,1-5,1-0,3-1,0-0,1-2,1-0,0-0,2-0,0-2,"Faust, r, Jamrun, Obamallama, Cob, Wolven, Crumbling, Younger, bambi, Jamrun, Majersk, AbsentPage, LuigigoShard, Tanooki, Peachy Keen, Joey Donuts, Jochi, I'm Michael BTW, Matteo, Jamrun, LuigigoShard, DannyPhantom, DannyPhantom, Mad Tyro, Siddward, KELLZ, Ahmad, catsonthemoon, KELLZ, Siddward, Goonus, Pelipper, cockbread, FoxCap, Joey Donuts, Savestate, LuigigoShard, ronnie, olé, Siddward, Oaty, Mike Quiggles, ycz6, Krizski, JorDank, Fat Penguin, Siddward, Joey Donuts, Sneakywill, Goosekhan, Den, Zuraco, FF, Holiday, Kikoho, CmG, rabit!, Joey Donuts, prof, djang0, allie, Start_fox, Vintage, LilFrogurt, Kikoho, Fro116, Googlyeyed, CAUP, Paladin, sinkingwithseals, benny, ericiscool.net, FMB5k, haunter, Lunar Dusk, CeeLew, C-bass, DD, Maher, eve",
Mekk,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-1,0-2,0-0,0-0,0-0,0-2,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-5,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-0,0-2,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,0-0,0-2,0-0,1-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-1,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,0-1,0-3,0-0,0-0,0-0,2-1,N/A,0-0,0-0,0-0,2-0,0-0,4-1,0-0,0-0,1-2,0-5,0-0,0-0,0-0,0-0,1-1,0-0,0-2,0-0,5-1,0-0,0-0,0-0,0-0,0-0,0-1,0-0,3-4,2-0,0-0,0-0,2-1,1-0,0-0,0-1,0-0,0-0,0-1,"Vish, Reeve, Ford$, DD, DD, Brand0, Hyunnies, Bab Activated, SuperCuak, Dao, Morrito, Amrak, Zamorita, JCAM, Joey Donuts, Nanami (aka PurpleZ), maxi, Steech, grownworkingman, Tanooki, cadenville, Pleeba, Pleeba, Pleasantries",
MINT,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-6,0-0,0-0,2-3,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-4,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,1-1,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,3-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,"Levingy, Timi, Makenshi, Mahie, Gabe, Levingy, big irf, Charon",
Mot$,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-1,0-1,0-0,1-1,0-0,0-1,0-1,0-2,0-1,0-3,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-2,0-1,0-0,0-0,0-0,0-1,0-1,0-3,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,1-2,0-0,0-0,0-0,0-1,0-1,0-1,1-0,0-0,0-0,0-0,0-3,0-0,0-0,1-0,0-0,0-0,0-0,1-2,8-2,0-0,0-0,0-0,1-0,1-1,0-0,0-0,0-0,1-0,0-0,0-3,0-0,7-1,1-4,0-0,1-0,0-0,0-0,0-0,0-0,0-2,10-1,0-0,0-0,1-0,1-0,0-0,1-0,0-0,1-0,0-0,0-0,6-9,0-1,2-3,1-0,0-1,0-3,0-0,3-1,0-0,1-0,0-0,2-0,0-0,0-1,0-0,0-0,0-0,N/A,0-0,0-0,0-0,0-0,0-0,0-0,0-0,2-0,0-0,0-0,1-0,0-0,1-0,0-0,0-0,0-1,1-2,1-0,0-3,0-0,0-0,0-0,1-0,0-1,0-1,1-1,4-0,1-0,0-0,12-10,1-3,1-1,0-0,2-0,2-2,"Jamrun, Reeve, futtbucker, Muscoman, KoopaTroopa895, Error, FendrickLamar, Erik, Erik, LuigigoShard, Bank, iLL BiLL, prof, Younger, Ghost Rider, Dimension, Panos, Bigbuffalo, 404Cray, SloX, lozplyr89, 404Cray, Fable, SloX, SloX, Majersk, Panos, YokaiNels, HOBORG, HOBORG, Error, Error, Error",
Neologism,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-1,1-0,0-0,0-0,0-3,0-0,0-0,1-2,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-3,1-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,4-1,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-2,0-1,0-0,1-2,1-3,1-0,2-0,0-0,0-0,0-0,2-1,0-0,2-1,0-0,0-0,0-0,1-0,0-0,0-0,0-0,2-0,0-1,0-0,2-4,0-0,0-0,3-1,0-0,0-1,0-0,2-0,0-0,0-0,1-2,2-1,0-0,0-1,1-1,0-0,0-0,0-0,N/A,2-0,0-0,0-0,0-0,0-0,0-1,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-2,0-0,1-0,0-1,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,2-0,0-1,1-0,0-0,0-0,0-0,0-0,3-0,1-2,"mgmg, prof, Grapplebee's, prof, Bab Activated, Panos, Jank, Jamrun, Peachy Keen, MOM!, Dimension, Liquid, Elysian, lexor, Epoodle, Epoodle, KELLZ, Younger, Golden, Willy P, Drunko, arctic, Anchovy, Question, MOM!, Vianny, PanterA",
NoFluxes,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,0-0,0-0,0-1,0-0,1-2,0-0,0-0,0-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-4,0-0,0-0,0-0,0-0,1-0,0-1,0-2,0-8,0-0,0-0,0-0,0-0,4-0,0-0,2-1,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,0-0,5-3,0-0,0-0,0-0,0-0,0-0,1-1,1-3,1-0,0-0,0-0,0-0,0-0,0-0,0-0,1-0,0-0,3-0,1-3,0-3,0-0,6-13,0-4,1-0,0-2,0-0,0-1,0-0,0-0,0-0,0-2,2-1,0-0,6-8,0-2,0-0,1-0,0-0,4-4,0-0,0-0,0-7,0-0,0-0,0-17,0-2,0-0,0-0,2-1,0-1,1-2,1-13,2-2,0-0,0-1,2-6,0-2,0-0,0-0,0-2,N/A,0-0,1-5,0-1,0-0,0-1,5-2,0-0,0-0,0-0,0-0,2-2,1-0,1-1,0-0,2-5,0-4,2-0,0-0,0-0,0-0,1-2,0-0,0-2,5-1,1-1,0-0,2-1,1-0,1-2,1-0,0-1,5-3,0-1,"mgmg, Balloon Day, Younger, Starlord, Nanami (aka PurpleZ), Pi#374, ALP, Jamrun, Equilateral, Stiffff, Faust, Chopsteezy, Russell, aCID, Busy Boi, EduPorp, Zion, Epoodle, DannyPhantom, EduPorp, Erik, Husband, Husband, MessiSTL, FMB5k, Equal, Paladin, Leof, Krispy, mgmg, Abe, Pi#374, TPN, rabit!, Blue, DannyPhantom, Alextrer, Panko, JustJoe, JustJoe, Sneakywill, 119Mista, coffee, Goonus, Seven, Badmouth, Leof, William, Paladin, William, Toast, .Dempt, TPN, Crow, Jimmy Jockstrap, William, Sirmeris, Sirmeris, Gl!tch, Crow, tiebex, .Dempt, prof, Sneakywill, Dirt, E-tie, PRIN$E, mgmg, Jimmy Jockstrap, tiebex, Joey Donuts, Hunybear, Steech, mgmg, Scal, Cast, Pi#374, Panko, Drio, shamr0ck, Rasen, Bobby Frizz, Weeg, DD, Reesch, Jimmy Jockstrap, Churze, Seven, Prometheus, Prometheus, SpiritxReaper, SpiritxReaper, Drio, Drio, Crow, Crow, Esquire, Joey Donuts, KeyboardMarth",
